Name,Reaction,Category,Sentiment,market_cap,image
PepsiCo,"PepsiCo has lowered its earnings forecast for the year, citing new tariffs, global trade uncertainty and weakening consumer demand as key pressures on its business. CEO Ramon Laguarta warned that supply chain costs are likely to rise further due to volatile trade conditions, while consumers remain cautious and value-driven amid inflation.",Retail & Consumer Goods,Negative,183.38,images/pepsico.svg
Kimberly-Clark,"The company expects $300 million in added costs from new tariffs but has decided not to raise prices, choosing instead to absorb the impact and shift sourcing to mitigate expenses. Executives cited competitive pressures and a desire to maintain market position as reasons for holding prices steady, even as profits are expected to flatten for 2025.",Retail & Consumer Goods,Negative,43.25,images/kim.svg
Levi Strauss,"Levi Strauss is closely monitoring the evolving tariff situation, comparing its potential disruption to that of the COVID-19 pandemic, but has not yet factored tariff impacts into its financial guidance, released on April 7. The company is relying on its globally diversified supply chain and strong international sales to help offset any U.S.-based volatility.",Retail & Consumer Goods,Neutral,6.41,images/levis.svg
Apple,"Apple is responding to steep U.S. tariffs on Chinese imports by shifting more of its iPhone production from China to India. Although China remains its primary manufacturing hub, Apple has significantly increased shipments from Indian suppliers like Foxconn and Tata to build inventory ahead of potential tariff hikes. While smartphone imports are temporarily exempt from the new tariffs, Apple is taking preemptive steps to safeguard its supply chain and prepare for long-term policy uncertainty.",Technology,Neutral,3080,images/apple.svg
Dell,"Dell has reduced or eliminated many of its product discounts, effectively raising consumer prices on laptops and desktops. The company views tariffs as an input cost and, according to its CFO, plans to pass those increases on to customers. Pegatron, a supplier of Dell and other electronics producers, also recently announced the tariff war could lead to empty shelves in the U.S. in the next few months.",Technology,Negative,66.01,images/dell.svg
Thermo Fisher,"The company is investing $2 billion over the next four years to expand its U.S. manufacturing and R&D capabilities in response to rising tariffs and global trade uncertainty. Of that amount, $1.5 billion will go toward strengthening domestic production infrastructure, with $500 million dedicated to innovation and development.",Technology,Positive,159.89,images/tf.svg
Nvidia,"In response to U.S. tariffs, Nvidia announced plans to invest up to $500 billion in building AI infrastructure and chip production capabilities in the United States over the next four years. The company is partnering with manufacturers like TSMC, Foxconn and Wistron to shift more of its production domestically, with new plants under construction in Arizona, Texas and other locations.",Technology,Positive,2793,images/nvidia.svg
Caterpillar,"Caterpillar expects tariffs to increase its costs by up to $350 million this quarter but is delaying price hikes and withholding a full-year forecast until there’s more policy clarity. The company is trimming discretionary spending and slowing imports of tariff-affected products, though larger supply chain shifts will take longer to implement.",Industrial & Manufacturing,Negative,152.33,images/cat.svg
Whirlpool,"Whirlpool views the new U.S. tariffs as a competitive advantage, emphasizing that its 80% domestic production positions it as a “net winner” by leveling the playing field against lower-cost foreign manufacturers. The company supports the tariffs for eliminating what it describes as unfair cost advantages exploited by Asian competitors, particularly in steel pricing.",Industrial & Manufacturing,Positive,4.33,images/whirlpool.svg
MP Materials,"The company has halted shipments of rare-earth concentrate to China in response to retaliatory tariffs and is accelerating efforts to build a fully domestic U.S. supply chain. It is investing nearly $1 billion to expand its refining and magnet production capabilities in California and Texas, reducing reliance on Chinese processing. While this decision cuts off a key revenue stream, MP Materials is stockpiling materials and shifting focus to supplying U.S. and allied markets, positioning itself as a secure source for critical minerals amid shifting trade policies.",Industrial & Manufacturing,Positive,4.3,images/mp.svg
U.S. Steel,"U.S. Steel is at the center of a politically sensitive acquisition proposal by Japan’s Nippon Steel. The proposal is now under review by the U.S. government amid heightened national security concerns and protectionist trade policies. While Trump has imposed a 24% reciprocal tariff on Japan to bolster domestic manufacturing, he has indicated he may allow a minority stake acquisition, signaling some openness to foreign investment under strict conditions. The broader context of Trump’s tariff strategy reflects a push to revive U.S. manufacturing, with U.S. Steel positioned as a strategic asset in that agenda.",Industrial & Manufacturing,Neutral,10.5,images/steel.svg
Boeing,"Boeing has been directly impacted by escalating U.S.-China trade tensions, as China ordered its airlines to halt deliveries of Boeing aircraft and seek government approval for future orders. Beijing criticized U.S. tariffs for disrupting global supply chains and harming both Chinese airlines and Boeing’s business. With steep reciprocal tariffs in place, it has become economically unfeasible for China to import U.S.-made planes, prompting Boeing to begin returning undelivered aircraft to the U.S.",Industrial & Manufacturing,Negative,110.2,images/boeing.svg
